zone_id,industry_group,jobs
142004,Education,260
142004,Transportation,144
97041,Professional Services,843
97041,Hospitality,116
97041,Manufacturing,196
97041,Transportation,115
125021,Education,246
125021,Hospitality,139
125021,Transportation,17
125021,Government,45
125021,Healthcare,38
185162,Retail,143
185162,Hospitality,2112
185162,Professional Services,57
185162,Healthcare,49
170333,Transportation,20
170333,Education,468
170333,Manufacturing,656
170333,Retail,742
170333,Government,300
170333,Healthcare,101
170342,Education,899
170342,Government,478
170342,Retail,308
170342,Hospitality,86
170342,Manufacturing,45
96044,Education,80
96044,Government,135
96044,Healthcare,265
96044,Transportation,91
96044,Retail,43
96044,Manufacturing,850
81013,Government,19
81013,Hospitality,95
81013,Healthcare,148
81013,Retail,55
81013,Manufacturing,96
81013,Education,93
201082,Healthcare,322
201082,Professional Services,440
201082,Manufacturing,218
201082,Retail,257
176031,Retail,208
176031,Manufacturing,235
176031,Transportation,823
176031,Education,62
32073,Hospitality,126
32073,Transportation,17
32073,Government,151
32073,Healthcare,565
32073,Professional Services,20
3011,Transportation,302
3011,Education,124
3011,Government,44
3011,Retail,128
3011,Professional Services,219
3011,Manufacturing,747
47002,Professional Services,18
47002,Healthcare,277
47002,Manufacturing,1267
47002,Transportation,597
47002,Education,443
215021,Hospitality,1322
215021,Government,1145
215021,Professional Services,4292
215021,Education,1275
215021,Healthcare,1839
136013,Education,365
136013,Manufacturing,163
136013,Transportation,2
136013,Hospitality,516
136013,Professional Services,374
136013,Government,696
79082,Retail,10
79082,Hospitality,757
79082,Professional Services,44
79082,Transportation,568
79082,Education,901
208133,Retail,1033
208133,Healthcare,525
208133,Manufacturing,70
208133,Hospitality,63
170542,Healthcare,76
170542,Manufacturing,42
170542,Transportation,57
170542,Education,29
170542,Professional Services,86
170542,Hospitality,32
83012,Hospitality,231
83012,Manufacturing,61
83012,Retail,369
83012,Transportation,797
83012,Government,136
83012,Education,171
105022,Education,1
105022,Retail,599
105022,Hospitality,496
105022,Professional Services,610
105022,Transportation,203
22023,Healthcare,5011
22023,Education,1427
22023,Government,666
22023,Retail,1887
22023,Hospitality,5447
22023,Professional Services,2157
29033,Education,113
29033,Manufacturing,270
29033,Healthcare,630
29033,Retail,177
29033,Transportation,331
80022,Transportation,19
80022,Education,385
80022,Hospitality,903
80022,Professional Services,1065
202062,Manufacturing,434
202062,Education,1031
202062,Government,182
202062,Transportation,106
155021,Government,126
155021,Healthcare,455
155021,Manufacturing,14
155021,Hospitality,37
170363,Transportation,308
170363,Manufacturing,1002
170363,Education,1225
170363,Retail,1904
170363,Healthcare,618
155012,Healthcare,523
155012,Government,467
155012,Manufacturing,13
155012,Education,295
155012,Transportation,1307
155012,Hospitality,953
95071,Education,479
95071,Government,610
95071,Retail,718
95071,Healthcare,1750
95071,Transportation,128
208121,Education,118
208121,Retail,231
208121,Manufacturing,181
208121,Professional Services,268
191034,Healthcare,1106
191034,Retail,453
191034,Manufacturing,1382
191034,Transportation,1233
191034,Government,2215
188041,Retail,29
188041,Transportation,318
188041,Government,25
188041,Professional Services,44
188041,Healthcare,96
134112,Government,245
134112,Professional Services,681
134112,Retail,599
134112,Healthcare,386
134112,Hospitality,781
134112,Education,374
182023,Manufacturing,1383
182023,Healthcare,417
182023,Hospitality,385
182023,Government,8015
182023,Education,2783
91074,Retail,533
91074,Manufacturing,13
91074,Government,7
91074,Healthcare,140
91074,Education,48
170611,Professional Services,461
170611,Hospitality,402
170611,Government,214
170611,Transportation,9
191102,Professional Services,200
191102,Government,364
191102,Hospitality,46
191102,Education,870
191102,Healthcare,498
189043,Hospitality,218
189043,Manufacturing,262
189043,Retail,292
189043,Education,377
134092,Manufacturing,160
134092,Transportation,100
134092,Professional Services,9
134092,Retail,179
170471,Manufacturing,283
170471,Education,221
170471,Retail,504
170471,Transportation,408
170471,Government,506
83512,Healthcare,91
83512,Professional Services,115
83512,Transportation,111
83512,Manufacturing,269
83512,Hospitality,109
32041,Transportation,563
32041,Retail,120
32041,Healthcare,223
32041,Professional Services,252
32041,Hospitality,516
32041,Government,1095
204041,Transportation,186
204041,Manufacturing,316
204041,Retail,106
204041,Education,46
204041,Hospitality,97
204041,Professional Services,39
83584,Transportation,1347
83584,Education,468
83584,Professional Services,99
83584,Hospitality,1049
83584,Government,3537
83584,Manufacturing,795
199032,Transportation,47
199032,Retail,190
199032,Professional Services,222
199032,Education,32
199032,Manufacturing,402
118024,Hospitality,208
118024,Government,206
118024,Professional Services,313
118024,Education,188
118024,Healthcare,379
118024,Manufacturing,58
173082,Hospitality,580
173082,Transportation,866
173082,Education,1724
173082,Healthcare,561
173082,Professional Services,8
173082,Manufacturing,22
100053,Healthcare,0
100053,Manufacturing,293
100053,Education,147
100053,Transportation,157
36011,Professional Services,505
36011,Transportation,64
36011,Government,1557
36011,Healthcare,93
61002,Hospitality,21
61002,Professional Services,829
61002,Healthcare,1798
61002,Government,1741
61002,Transportation,969
61002,Retail,505
170353,Government,78
170353,Hospitality,10
170353,Healthcare,228
170353,Retail,68
170353,Transportation,42
16001,Retail,626
16001,Healthcare,768
16001,Education,459
16001,Government,282
83551,Professional Services,20
83551,Healthcare,1315
83551,Government,304
83551,Education,279
83551,Transportation,365
7001,Professional Services,197
7001,Hospitality,191
7001,Retail,134
7001,Education,355
7001,Healthcare,1433
7001,Transportation,1344
174031,Retail,238
174031,Transportation,64
174031,Hospitality,265
174031,Professional Services,27
83632,Professional Services,42
83632,Education,69
83632,Government,8
83632,Retail,277
83632,Healthcare,154
85113,Retail,71
85113,Manufacturing,1009
85113,Professional Services,15
85113,Hospitality,206
85113,Transportation,1591
83573,Retail,335
83573,Healthcare,1472
83573,Hospitality,77
83573,Manufacturing,286
83573,Education,180
83573,Professional Services,12
170091,Government,1048
170091,Retail,206
170091,Professional Services,398
170091,Healthcare,614
198114,Transportation,244
198114,Professional Services,292
198114,Education,48
198114,Government,1408
198114,Manufacturing,479
189062,Hospitality,345
189062,Education,366
189062,Government,110
189062,Professional Services,152
189062,Manufacturing,7
177021,Retail,867
177021,Manufacturing,179
177021,Professional Services,853
177021,Transportation,329
27082,Healthcare,290
27082,Hospitality,259
27082,Government,379
27082,Transportation,141
27082,Manufacturing,1086
27082,Education,198
97067,Transportation,5
97067,Education,176
97067,Manufacturing,273
97067,Professional Services,22
97067,Healthcare,148
97067,Hospitality,327
177023,Hospitality,1642
177023,Healthcare,3168
177023,Transportation,3371
177023,Education,1512
59002,Education,298
59002,Healthcare,94
59002,Government,625
59002,Hospitality,1753
122002,Education,10
122002,Retail,113
122002,Healthcare,129
122002,Hospitality,335
122002,Government,30
122002,Transportation,2
32042,Hospitality,292
32042,Professional Services,691
32042,Manufacturing,386
32042,Transportation,1895
162021,Education,73
162021,Healthcare,320
162021,Transportation,58
162021,Government,142
162021,Professional Services,43
162021,Hospitality,116
200192,Professional Services,2449
200192,Retail,12
200192,Transportation,709
200192,Education,172
200192,Hospitality,24
200192,Government,305
95044,Transportation,940
95044,Healthcare,936
95044,Hospitality,909
95044,Professional Services,2344
186152,Manufacturing,66
186152,Government,248
186152,Education,140
186152,Healthcare,223
186152,Professional Services,188
188031,Professional Services,431
188031,Manufacturing,751
188031,Healthcare,410
188031,Government,2711
29043,Government,483
29043,Retail,69
29043,Manufacturing,1205
29043,Professional Services,426
29043,Transportation,24
29043,Hospitality,415
183011,Transportation,916
183011,Manufacturing,197
183011,Retail,21
183011,Healthcare,826
183011,Education,1070
183011,Hospitality,760
123021,Retail,2506
123021,Hospitality,282
123021,Professional Services,2509
123021,Healthcare,389
123021,Government,3935
123021,Education,347
83441,Government,147
83441,Manufacturing,711
83441,Education,123
83441,Hospitality,468
135063,Government,139
135063,Professional Services,69
135063,Retail,175
135063,Hospitality,534
208013,Healthcare,263
208013,Manufacturing,49
208013,Transportation,92
208013,Retail,74
208013,Government,334
95051,Retail,476
95051,Hospitality,59
95051,Professional Services,2
95051,Transportation,156
95051,Government,175
178101,Education,448
178101,Manufacturing,486
178101,Professional Services,674
178101,Transportation,78
186194,Education,273
186194,Professional Services,404
186194,Healthcare,289
186194,Hospitality,281
186194,Government,1122
186194,Retail,90
133061,Education,474
133061,Government,26
133061,Professional Services,132
133061,Retail,750
133061,Hospitality,24
133061,Transportation,913
183012,Education,1957
183012,Hospitality,173
183012,Professional Services,416
183012,Government,944
183012,Retail,317
18024,Transportation,118
18024,Retail,149
18024,Manufacturing,161
18024,Hospitality,287
18024,Government,99
18024,Education,1016
98041,Hospitality,4098
98041,Professional Services,2019
98041,Manufacturing,103
98041,Education,468
170443,Retail,269
170443,Education,165
170443,Manufacturing,620
170443,Healthcare,371
104023,Transportation,2791
104023,Healthcare,1205
104023,Education,4613
104023,Professional Services,5576
104023,Manufacturing,1188
104023,Retail,5542
91072,Government,673
91072,Education,419
91072,Healthcare,1564
91072,Retail,296
91072,Manufacturing,222
77014,Healthcare,262
77014,Government,113
77014,Transportation,45
77014,Manufacturing,83
77014,Professional Services,79
77014,Hospitality,255
135032,Professional Services,185
135032,Manufacturing,239
135032,Retail,173
135032,Hospitality,63
135032,Education,30
83243,Education,297
83243,Hospitality,1456
83243,Transportation,967
83243,Retail,70
83771,Manufacturing,200
83771,Professional Services,376
83771,Hospitality,235
83771,Education,48
83771,Retail,127
83771,Healthcare,494
157052,Education,837
157052,Professional Services,1035
157052,Manufacturing,198
157052,Healthcare,36
157052,Transportation,1332
178091,Manufacturing,473
178091,Retail,15
178091,Professional Services,449
178091,Healthcare,248
178091,Government,1583
93014,Manufacturing,10
93014,Hospitality,504
93014,Healthcare,144
93014,Government,597
93014,Retail,212
93014,Professional Services,226
83812,Transportation,91
83812,Hospitality,163
83812,Retail,106
83812,Manufacturing,151
83812,Education,123
83812,Healthcare,210
83244,Transportation,48
83244,Healthcare,130
83244,Professional Services,78
83244,Education,7
83244,Retail,200
170313,Retail,369
170313,Government,95
170313,Healthcare,1
170313,Transportation,745
207123,Transportation,390
207123,Education,405
207123,Healthcare,1126
207123,Retail,1022
207123,Government,715
207123,Manufacturing,249
170583,Transportation,621
170583,Healthcare,45
170583,Professional Services,281
170583,Education,733
170583,Retail,12
170583,Hospitality,500
214013,Government,160
214013,Manufacturing,48
214013,Transportation,222
214013,Healthcare,75
214013,Professional Services,84
207064,Transportation,935
207064,Professional Services,579
207064,Government,34
207064,Healthcare,433
207064,Hospitality,132
132062,Manufacturing,166
132062,Retail,33
132062,Professional Services,964
132062,Hospitality,692
132062,Government,64
132062,Education,639
148061,Government,253
148061,Hospitality,166
148061,Manufacturing,197
148061,Transportation,20
148061,Healthcare,135
148061,Education,45
150013,Government,72
150013,Hospitality,322
150013,Retail,631
150013,Education,425
150013,Professional Services,626
60003,Education,159
60003,Professional Services,230
60003,Hospitality,850
60003,Healthcare,666
209031,Professional Services,149
209031,Transportation,256
209031,Government,105
209031,Manufacturing,33
209031,Education,104
133271,Hospitality,1095
133271,Retail,514
133271,Healthcare,589
133271,Education,75
133271,Manufacturing,221
25021,Government,656
25021,Retail,556
25021,Professional Services,1448
25021,Manufacturing,336
83052,Manufacturing,2380
83052,Hospitality,494
83052,Professional Services,676
83052,Transportation,516
83052,Healthcare,726
176062,Manufacturing,1632
176062,Retail,275
176062,Hospitality,6
176062,Government,517
176062,Professional Services,2238
136071,Education,91
136071,Hospitality,38
136071,Manufacturing,81
136071,Transportation,55
136071,Professional Services,198
136071,Retail,60
213021,Hospitality,184
213021,Transportation,22
213021,Education,486
213021,Government,84
166151,Healthcare,670
166151,Transportation,519
166151,Professional Services,1075
166151,Retail,203
166151,Manufacturing,407
97065,Professional Services,1925
97065,Manufacturing,48
97065,Healthcare,426
97065,Retail,472
93053,Hospitality,734
93053,Professional Services,1838
93053,Manufacturing,20
93053,Government,172
93053,Transportation,111
16004,Retail,32678
16004,Hospitality,1769
16004,Professional Services,10811
16004,Healthcare,1027
16004,Transportation,7457
16004,Manufacturing,4217
191052,Transportation,845
191052,Manufacturing,1024
191052,Retail,347
191052,Education,806
131022,Manufacturing,1544
131022,Education,91
131022,Transportation,1183
131022,Hospitality,21
131022,Retail,1973
131022,Government,213
54012,Retail,255
54012,Hospitality,1586
54012,Transportation,308
54012,Professional Services,2118
91073,Retail,1469
91073,Education,317
91073,Hospitality,329
91073,Government,1133
27083,Hospitality,730
27083,Professional Services,346
27083,Transportation,138
27083,Retail,147
57002,Manufacturing,1287
57002,Retail,281
57002,Education,1002
57002,Healthcare,494
57002,Hospitality,516
76023,Professional Services,90
76023,Transportation,329
76023,Government,88
76023,Retail,365
76023,Hospitality,30
101032,Professional Services,288
101032,Retail,147
101032,Government,208
101032,Manufacturing,818
191111,Professional Services,163
191111,Healthcare,186
191111,Manufacturing,255
191111,Retail,23
191111,Hospitality,322
191111,Education,220
120032,Healthcare,66
120032,Government,240
120032,Education,52
120032,Hospitality,777
120032,Manufacturing,487
120032,Professional Services,324
27122,Hospitality,1190
27122,Manufacturing,4142
27122,Education,2705
27122,Transportation,6482
101041,Transportation,42
101041,Hospitality,135
101041,Education,23
101041,Retail,9
101041,Professional Services,128
70022,Hospitality,479
70022,Healthcare,324
70022,Professional Services,677
70022,Retail,1087
70022,Manufacturing,227
70022,Transportation,560
169013,Transportation,11
169013,Professional Services,68
169013,Healthcare,9
169013,Government,336
170621,Healthcare,516
170621,Retail,327
170621,Hospitality,96
170621,Government,95
170621,Transportation,20
170621,Manufacturing,127
174051,Government,796
174051,Healthcare,510
174051,Education,232
174051,Retail,882
174051,Professional Services,1383
174051,Hospitality,1015
95053,Retail,507
95053,Government,799
95053,Hospitality,284
95053,Healthcare,327
134241,Manufacturing,117
134241,Hospitality,144
134241,Transportation,252
134241,Professional Services,173
83475,Education,54
83475,Government,64
83475,Manufacturing,185
83475,Retail,534
83475,Transportation,113
195032,Government,44
195032,Healthcare,535
195032,Professional Services,325
195032,Transportation,1839
195032,Manufacturing,590
128001,Manufacturing,83
128001,Government,131
128001,Retail,314
128001,Education,303
128001,Healthcare,71
128001,Transportation,36
168132,Healthcare,14
168132,Retail,658
168132,Hospitality,732
168132,Manufacturing,252
168132,Government,261
168132,Education,280
85093,Hospitality,1249
85093,Healthcare,29
85093,Professional Services,230
85093,Government,39
85093,Manufacturing,13
85093,Transportation,324
83432,Healthcare,208
83432,Transportation,97
83432,Hospitality,263
83432,Government,438
207111,Retail,3070
207111,Healthcare,363
207111,Hospitality,1184
207111,Professional Services,1273
207111,Government,415
207111,Education,6145
83751,Healthcare,274
83751,Professional Services,1336
83751,Government,774
83751,Hospitality,335
83751,Retail,480
83442,Professional Services,82
83442,Manufacturing,4
83442,Government,59
83442,Healthcare,10
83442,Education,46
83442,Retail,92
109002,Hospitality,313
109002,Healthcare,61
109002,Education,367
109002,Manufacturing,155
109002,Transportation,22
109002,Professional Services,1220
83031,Hospitality,72
83031,Professional Services,112
83031,Healthcare,321
83031,Education,29
83031,Transportation,207
83031,Manufacturing,257
15001,Healthcare,2059
15001,Manufacturing,575
15001,Hospitality,535
15001,Retail,725
133273,Education,1
133273,Manufacturing,138
133273,Professional Services,335
133273,Hospitality,412
200212,Healthcare,220
200212,Education,306
200212,Retail,665
200212,Professional Services,321
200212,Government,118
2021,Manufacturing,368
2021,Government,47
2021,Retail,289
2021,Education,2144
98013,Hospitality,776
98013,Retail,1241
98013,Healthcare,305
98013,Professional Services,773
98013,Manufacturing,846
98051,Hospitality,114
98051,Retail,199
98051,Healthcare,213
98051,Transportation,87
105021,Professional Services,582
105021,Healthcare,105
105021,Retail,27
105021,Manufacturing,73
105021,Hospitality,250
105021,Government,302
108001,Healthcare,32
108001,Education,422
108001,Retail,336
108001,Transportation,390
170541,Healthcare,2
170541,Professional Services,12
170541,Education,975
170541,Hospitality,15
23012,Education,1906
23012,Hospitality,46
23012,Transportation,4323
23012,Professional Services,1389
23012,Retail,1192
168063,Government,1278
168063,Education,365
168063,Manufacturing,680
168063,Healthcare,281
27034,Education,194
27034,Healthcare,91
27034,Manufacturing,91
27034,Transportation,205
59001,Professional Services,1716
59001,Government,1624
59001,Retail,278
59001,Hospitality,342
59001,Education,171
41013,Professional Services,766
41013,Retail,8416
41013,Manufacturing,1386
41013,Healthcare,1516
41013,Hospitality,125
75012,Transportation,206
75012,Education,729
75012,Manufacturing,148
75012,Retail,1061
75012,Hospitality,37
75012,Professional Services,2399
50001,Healthcare,63
50001,Professional Services,127
50001,Education,37
50001,Transportation,10
50001,Retail,144
50001,Hospitality,79
32021,Healthcare,145
32021,Retail,164
32021,Manufacturing,676
32021,Professional Services,184
139081,Professional Services,488
139081,Education,399
139081,Government,275
139081,Transportation,776
139081,Hospitality,2544
139081,Healthcare,1172
129002,Retail,49
129002,Transportation,287
129002,Professional Services,63
129002,Healthcare,107
129002,Government,451
85112,Hospitality,453
85112,Retail,233
85112,Government,101
85112,Transportation,1909
75023,Manufacturing,2320
75023,Healthcare,448
75023,Retail,75
75023,Transportation,69
75023,Education,718
18021,Manufacturing,122
18021,Transportation,213
18021,Hospitality,57
18021,Education,63
18021,Professional Services,330
56021,Manufacturing,793
56021,Transportation,360
56021,Hospitality,14
56021,Healthcare,273
56021,Retail,274
186131,Hospitality,6
186131,Professional Services,18
186131,Healthcare,7
186131,Transportation,47
186131,Government,20
157014,Education,203
157014,Professional Services,208
157014,Hospitality,36
157014,Transportation,272
96041,Manufacturing,163
96041,Hospitality,429
96041,Government,261
96041,Education,587
170372,Government,56
170372,Healthcare,32
170372,Transportation,285
170372,Education,41
170372,Manufacturing,51
170372,Professional Services,122
39021,Healthcare,379
39021,Manufacturing,350
39021,Education,4203
39021,Professional Services,10
39021,Transportation,2637
39021,Hospitality,277
88001,Healthcare,201
88001,Professional Services,55
88001,Retail,22
88001,Manufacturing,164
88001,Transportation,25
88001,Government,31
2022,Professional Services,18
2022,Retail,582
2022,Hospitality,468
2022,Education,150
23022,Transportation,158
23022,Government,764
23022,Manufacturing,731
23022,Retail,382
12011,Manufacturing,1403
12011,Transportation,428
12011,Education,78
12011,Healthcare,4707
96033,Hospitality,3
96033,Professional Services,163
96033,Education,14
96033,Healthcare,198
96033,Manufacturing,119
210012,Transportation,1083
210012,Healthcare,1982
210012,Professional Services,1516
210012,Retail,569
20011,Transportation,91
20011,Manufacturing,926
20011,Education,233
20011,Professional Services,2
20011,Government,149
20011,Healthcare,424
125023,Healthcare,2
125023,Hospitality,30
125023,Professional Services,197
125023,Transportation,390
125023,Education,13
